Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2016-08-22,790.0,814.35,785.5,803.5,804.25,501365.0,4033.53
2016-08-23,809.95,829.8,804.0,807.0,808.3,477048.0,3872.2
2016-08-24,800.0,822.7,800.0,809.0,809.6,460320.0,3756.87
2016-08-25,815.6,826.4,805.0,810.0,809.2,468815.0,3820.83
2016-08-26,812.25,827.0,809.9,819.9,823.2,491602.0,4030.54
2016-08-29,858.0,860.0,815.0,834.0,826.6,441828.0,3648.16
2016-08-30,830.0,843.6,825.0,834.7,827.4,511107.0,4254.94
2016-08-31,835.45,851.0,826.1,830.0,829.15,436543.0,3644.05
2016-09-01,837.65,939.8,830.55,888.0,903.75,628055.0,5401.58
2016-09-02,894.2,915.0,851.5,882.8,886.8,541511.0,4832.07
2016-09-06,888.0,908.0,887.0,893.0,891.75,467303.0,4192.04
2016-09-07,895.0,908.0,886.7,900.0,898.0,480992.0,4316.77
2016-09-08,904.95,916.9,873.0,875.25,881.4,448123.0,4015.29
2016-09-09,885.0,890.0,846.0,858.1,858.4,465139.0,4054.33
2016-09-12,846.9,860.0,841.6,849.0,847.6,474785.0,4049.65
2016-09-14,836.05,859.1,836.05,853.05,851.05,500869.0,4268.78
